id,title,content,publication_date,source_url,is_duplicate,category
1,"Dominion still has pending lawsuits against election deniers such as Rudy Giuliani and Sidney Powell",,"2024-01-29 12:42:36",https://www.cnn.com/business/live-news/fox-news-dominion-trial-04-18-23/h_8d51e3ae2714edaa0dace837305d03b8,0,Others
2,"'Difficult to say with a straight face': Tapper reacts to Fox News' statement on settlement","A settlement has been reached in Dominion Voting Systems' defamation case against Fox News, the judge for the case announced. The network will pay more than $787 million to Dominion, a lawyer for the company said.","2024-01-29 12:42:37",https://www.cnn.com/videos/politics/2023/04/18/jake-tapper-dominion-lawsuit-settlement-fox-news-statement-lead-vpx.cnn,0,Others
3,"Newly released video shows scene of Jeremy Renner's snowplow accident","Newly released body camera footage shows firefighters and sheriff's deputies rushing to help actor Jeremy Renner after a near-fatal snowplow accident in January. The "Avengers" actor broke more than 30 bones and suffered other severe injuries. CNN's Chloe Melas has more.","2024-01-29 12:42:37",https://www.cnn.com/videos/us/2023/04/18/jeremy-renner-snowplow-accident-bodycam-nc-melas-contd-vpx.cnn,0,Others
4,"Netflix is winding down its DVD business after 25 years","Netflix is officially winding down the business that helped make it a household name.","2024-01-29 12:42:37",https://www.cnn.com/2023/04/18/media/netflix-dvd-red-envelopes/index.html,0,Others
5,"Russia is 'going backwards' in equipment and deploying post WWII-era tanks, according to Western officials","• Jailed Wall Street Journal reporter Evan Gershkovich denied detention appeal in Moscow
• Putin visits Russian troops at military headquarters in Kherson
• Watch moment WSJ journalist appears in Russian court","2024-01-29 12:42:38",https://www.cnn.com/europe/live-news/russia-ukraine-war-news-04-18-23/index.html,0,Others
6,"GOP prepared to block vote to replace Feinstein on Senate Judiciary","Senate Majority Leader Chuck Schumer said on Tuesday that he hopes to replace Democratic Sen. Dianne Feinstein on the Senate Judiciary Committee with Sen. Ben Cardin of Maryland and aims to set up a floor vote on the issue this afternoon, which Republicans are expected to block.","2024-01-29 12:42:38",https://www.cnn.com/2023/04/18/politics/schumer-senate-feinstein-vote-cardin/index.html,0,Others
7,"US warns Russia not to touch American nuclear technology at Ukrainian nuclear plant","The US has sensitive nuclear technology at a nuclear power plant inside Ukraine and is warning Russia not to touch it, according to a letter the US Department of Energy sent to Russia's state-owned nuclear energy firm Rosatom last month.","2024-01-29 12:42:38",https://www.cnn.com/2023/04/18/politics/us-warns-russia-zaporizhzhia-nuclear-plant/index.html,0,Others
8,"ADHD medication abuse in schools is a 'wake-up call'","At some middle and high schools in the United States, 1 in 4 teens report they've abused prescription stimulants for attention deficit hyperactivity disorder during the year prior, a new study found.","2024-01-29 12:42:39",https://www.cnn.com/2023/04/18/health/teen-misuse-adhd-meds-wellness/index.html,0,Others
9,"Jamie Foxx remains hospitalized nearly a week after 'medical complication'","Jamie Foxx remains hospitalized in Georgia nearly a week after his daughter revealed the actor experienced a "medical complication," a source with knowledge of the matter told CNN on Monday.","2024-01-29 12:42:39",https://www.cnn.com/2023/04/17/entertainment/jamie-foxx-remains-hospitalized/index.html,0,Others
10,"Mother's Day is around the corner. Here are 50+ thoughtful gifts she'll love",,"2024-01-29 12:42:39",https://www.cnn.com/cnn-underscored/gifts/best-mothers-day-gifts-2023?iid=CNNUnderscoredHPcontainer,0,Others
